ID,wav,words,length
adapt_sample_31_clean,../data/adapt/adapt_sample_31_clean.wav,بقول إمتى يخلص,1.848
adapt_sample_32_clean,../data/adapt/adapt_sample_32_clean.wav,اسكت لوكلاهم تسمعك,20.376
adapt_sample_33_clean,../data/adapt/adapt_sample_33_clean.wav,ربتهم وصبرت وكافحت وممدتش إيدها لمخلوق و استحملت كل الذل و كل الغلب اللي في الدنيا و بعد كده طلعتهم وكبرتهم وجوزها طلع من السجن لقاهم متزوجين و كل المتعلمين هي دي الست الصعيديه أنا بالنسبالي هي دي ملكه جمال الصعيد,17.208
adapt_sample_34_clean,../data/adapt/adapt_sample_34_clean.wav,من هنا لحد هناك كان يحفر يجي عشره متر تحت الأرض,3.048
adapt_sample_35_clean,../data/adapt/adapt_sample_35_clean.wav,أن مصر محاصره بذئاب و كلاب من كل ناحيه,7.52325
adapt_sample_36_clean,../data/adapt/adapt_sample_36_clean.wav,الحاجه التانيه بقى,2.769
adapt_sample_37_clean,../data/adapt/adapt_sample_37_clean.wav,إنت ناسي إن أنا بتي في اخر سنه كلية طب,2.904
adapt_sample_38_clean,../data/adapt/adapt_sample_38_clean.wav,أنا من الأقصر,1.464
adapt_sample_39_clean,../data/adapt/adapt_sample_39_clean.wav,طبعا أنت عارف يعني إحنا هنكرم الأقصر,2.232
adapt_sample_40_clean,../data/adapt/adapt_sample_40_clean.wav,إم إنت ضد مين أولا,3.0563125
adapt_sample_41_clean,../data/adapt/adapt_sample_41_clean.wav,قال كمان قال أنا كنت روحت كان عندي فقرات الرقبه رحت اتعالجت في يلتا على البحر الأسود ورجعت غيبت كتيره فجأه لقيت في تليفون من نهال قولتله إنت فين قولتلها أنا كنت في يلتا بقى قالتلي إنت فين قولتلها أنا كنت في يلتا ياما ما تقولش يعني حاجه زي كده قولتلها أنا كنت في,30.0146875
adapt_sample_42_clean,../data/adapt/adapt_sample_42_clean.wav,الديب بيفحت ويستعجل بيفحت ده السبع كبير مش بسيط يعني السبع ما يفتحش يعني في الأرض,6.6
adapt_sample_43_clean,../data/adapt/adapt_sample_43_clean.wav,مستني مين هنا,1.608
adapt_sample_44_clean,../data/adapt/adapt_sample_44_clean.wav,كلكم مبتقبلوش النصيحه,3.768
adapt_sample_45_clean,../data/adapt/adapt_sample_45_clean.wav,المهم قلتلها يا بوي مش هينفع,2.256
adapt_sample_46_clean,../data/adapt/adapt_sample_46_clean.wav,دي طبعا,1.104
adapt_sample_47_clean,../data/adapt/adapt_sample_47_clean.wav,تمام,0.696
adapt_sample_48_clean,../data/adapt/adapt_sample_48_clean.wav,إنت راجل باطل,0.936
adapt_sample_49_clean,../data/adapt/adapt_sample_49_clean.wav,ولا يقصد,2.352
adapt_sample_50_clean,../data/adapt/adapt_sample_50_clean.wav,حبيبي يا أستاذ وائل إزيك أنا عايز أقولك حاجه بس قبل ما تدخل في في الكلام اللي هتقوله اتفضل,6.24
adapt_sample_51_clean,../data/adapt/adapt_sample_51_clean.wav,فاكر إنت يعني هل لما انا اتجوزتها طبعا الدنيا اتقلبت,6.24325
adapt_sample_52_clean,../data/adapt/adapt_sample_52_clean.wav,بيحب الأهلي أوي أوي,1.176
adapt_sample_53_clean,../data/adapt/adapt_sample_53_clean.wav,الإخوان المسلمين أه أنا بتكلم على مؤسسة الرئاسه اللي بتحكمني يعني الإخوان مش بيحكموني أما بقى الدواخل اللي جوه ماليش فيها لكن أنا بتكلم على الريس,10.944
adapt_sample_54_clean,../data/adapt/adapt_sample_54_clean.wav,دول تلات تجواز حمام,2.376
adapt_sample_55_clean,../data/adapt/adapt_sample_55_clean.wav,إنت تاخد تلاتين ألف,2.088
adapt_sample_56_clean,../data/adapt/adapt_sample_56_clean.wav,تمام,0.792
adapt_sample_57_clean,../data/adapt/adapt_sample_57_clean.wav,أدينا بنتكفر أي أي شخص معارض أصبح كافر ما هو ما هو أنت إزاي تقول لواحد انزل انزل أضرب ده أو انزل موته أو انزل مش عارف إيه إزاي ما أنت لازم تشحنه نفسيا ضده طب اشحنه بإيه بإنه كافر,21.192
adapt_sample_58_clean,../data/adapt/adapt_sample_58_clean.wav,دكتوره نصره منصور أشهر دكتوره في زراعة الكبد,5.208
adapt_sample_59_clean,../data/adapt/adapt_sample_59_clean.wav,لا ما ينفعش ما هو مادام ضارب انت مش صالح ليه ما ينفعش أقولك من سنة سبعتاشر الدم شغال في الصعيد,10.824
adapt_sample_60_clean,../data/adapt/adapt_sample_60_clean.wav,هو وحش,1.224
adapt_sample_61_clean,../data/adapt/adapt_sample_61_clean.wav,الله أكبر,1.392
adapt_sample_62_clean,../data/adapt/adapt_sample_62_clean.wav,هذه المساحه من ال من الأرض في العالم أه لو بقيت لو بجيت دوله واحده مش شرط دوله واحده يعني ممكن نبقى مجموعة دول بس بينا اتحاد,12.744
adapt_sample_63_clean,../data/adapt/adapt_sample_63_clean.wav,أه بالتليفون الله العظيم كان كده هو ساعات يطلع معاه قاله ده عايز يتغني اللحن ده تغنيه,10.29225
adapt_sample_64_clean,../data/adapt/adapt_sample_64_clean.wav,لا و ينحرف عن كلامه و ينحرف عن وعوده وائل الإبراشي مكلمني في التليفون يا هشام تعالى هنطلع حلجه مع بعض فأنا قولت لوائل يا وائل معلش اعملي برومو مثلا,12.576
adapt_sample_65_clean,../data/adapt/adapt_sample_65_clean.wav,إنت لو شيلت بوندقه مش البوندقه مطرح ما يرجعوا فيك اللي مضروب منهم خصامكم هيموتوه,6.0
adapt_sample_66_clean,../data/adapt/adapt_sample_66_clean.wav,أكيد,0.72
adapt_sample_67_clean,../data/adapt/adapt_sample_67_clean.wav,يعني إم فيها سنه مدبره في حضننا إم,4.7543125
adapt_sample_68_clean,../data/adapt/adapt_sample_68_clean.wav,وأنا ماليش غيرك,2.112
adapt_sample_69_clean,../data/adapt/adapt_sample_69_clean.wav,إم والفكره حضرتك بتجيلي يعني من البلد من الشارع من على القهوه,6.288
adapt_sample_70_clean,../data/adapt/adapt_sample_70_clean.wav,عندينا حماده ناصر ده بتاع المصري ده اكتشفوه بالصدفه يا صديقي,3.72
adapt_sample_71_clean,../data/adapt/adapt_sample_71_clean.wav,ما دامش لف الكفن وجات الحكومه ووقفت واخد بال سيادتك و قعدوا و عملوا صوان ونصبوا,7.536
adapt_sample_72_clean,../data/adapt/adapt_sample_72_clean.wav,مهيش مني وأنا مقولتهاش غم وضحكت ضحكتها قبل النهارده,7.889
adapt_sample_73_clean,../data/adapt/adapt_sample_73_clean.wav,طب هي إنتي ممكن أصلا في بكره الشهر الجاي بتطلع كل يوم موضه,4.488
adapt_sample_74_clean,../data/adapt/adapt_sample_74_clean.wav,هو حضرتك مدام وكلاهم,3.072
adapt_sample_75_clean,../data/adapt/adapt_sample_75_clean.wav,لكن ده الاستراتيجي إم تمام قولي التكتيكي ده الطريقه ما كانش في بالك,9.4301875
adapt_sample_76_clean,../data/adapt/adapt_sample_76_clean.wav,يلا بينا,14.952
adapt_sample_77_clean,../data/adapt/adapt_sample_77_clean.wav,تمام,0.672
adapt_sample_78_clean,../data/adapt/adapt_sample_78_clean.wav,معلش يا وائل اعملي برومو جه وائل معملليش رلومو ليه عندي حاجه ليه عندي حاجه ما هو إنت معملتش حاجه,9.48
adapt_sample_79_clean,../data/adapt/adapt_sample_79_clean.wav,إحنا كانت الظروف البلد كلها يعني الرجعيه واضحه إم و الشعب واضح,9.6130625
adapt_sample_80_clean,../data/adapt/adapt_sample_80_clean.wav,ما الناس الكبيره بقى ما عرفهاش بقى ليه ما بيعرفوهاش ليه بقى دي,2.616
adapt_sample_81_clean,../data/adapt/adapt_sample_81_clean.wav,طب هما اللي شايلين المرار وإنت ليك هتاكل رز وهتاكل مكرونه وهتاكل لحمه,4.512
adapt_sample_82_clean,../data/adapt/adapt_sample_82_clean.wav,أيوه يا قابلت عمك في الزرع,2.976
adapt_sample_83_clean,../data/adapt/adapt_sample_83_clean.wav,أه وتعمل الجرف الأخير ده,4.911
adapt_sample_84_clean,../data/adapt/adapt_sample_84_clean.wav,الباي باي ده كمان,1.152
adapt_sample_85_clean,../data/adapt/adapt_sample_85_clean.wav,بالنسبالي لحم أخضر يعني ما يتاكلش إم يعني دي دي تبصلها من ورا إزاز فاترينه,7.68
adapt_sample_86_clean,../data/adapt/adapt_sample_86_clean.wav,أنا في العلاقات أيوه صحيح متواري جدا و خدام أحبائي,7.3665625
adapt_sample_87_clean,../data/adapt/adapt_sample_87_clean.wav,ألف مبروك يا بنتي,2.616
adapt_sample_88_clean,../data/adapt/adapt_sample_88_clean.wav,مش أنهال كانت هنا إم,3.2391875
adapt_sample_89_clean,../data/adapt/adapt_sample_89_clean.wav,تار أنا مش عشان آخد تار أصلا ليه أبويا أساسا أبويا وجالي خد البندقيه ها واقتل,6.6
adapt_sample_90_clean,../data/adapt/adapt_sample_90_clean.wav,أدي الواي فاي جايبينه من فودافون,2.304
adapt_sample_91_clean,../data/adapt/adapt_sample_91_clean.wav,إن أنا دلوقتي عايش حاله أنا بقول للناس أنا مش بقولك إنت أنا دلوقتي عايش حاله من الهيبه أمام هذا الرجل,9.672
adapt_sample_92_clean,../data/adapt/adapt_sample_92_clean.wav,أه يعني ممكن يعشيني وممكن يعني بتاع أو يعني هكذا,4.7020625
adapt_sample_93_clean,../data/adapt/adapt_sample_93_clean.wav,عديت القناه أه,0.72
adapt_sample_94_clean,../data/adapt/adapt_sample_94_clean.wav,أول ما يعدي الأربعين كده للشخص يلا حسن الختام,6.191
adapt_sample_95_clean,../data/adapt/adapt_sample_95_clean.wav,وحليمي,1.28
adapt_sample_96_clean,../data/adapt/adapt_sample_96_clean.wav,أه بس دي بقى أنا يعني جبت عين الشمس غضبت,8.1763125
adapt_sample_97_clean,../data/adapt/adapt_sample_97_clean.wav,وسايبهم هما ميتين من الجوع,2.328
adapt_sample_98_clean,../data/adapt/adapt_sample_98_clean.wav,يعني إحنا خمسه وانت واحد بس يا منصور,5.88
adapt_sample_99_clean,../data/adapt/adapt_sample_99_clean.wav,علي الطلاق اجعله الطيب,2.472
adapt_sample_100_clean,../data/adapt/adapt_sample_100_clean.wav,أنا لسه بشكر فيك للواد مصطفى,1.68
adapt_sample_101_clean,../data/adapt/adapt_sample_101_clean.wav,بعد إذنك,3.528
adapt_sample_102_clean,../data/adapt/adapt_sample_102_clean.wav,هو الجمهور لا أنتم هو الحكام لا أنتم هتسمعني جحافلكم هتسمعني دواوين المعاقل في حكومتكم هو الحكام لا أنتم ولا أخشى لكم أحد هو الإسلام ولا أنتم فكفوا عن تجارتكم وإلا ساروا مرتبكم وخلوا ما أنتم,34.608
adapt_sample_103_clean,../data/adapt/adapt_sample_103_clean.wav,أه حضرتك إنتي أول البرنامج جالي تظهر إنت والناس اللي معاك وأنا رحبت,4.944
adapt_sample_104_clean,../data/adapt/adapt_sample_104_clean.wav,النوبي بره عايزك,1.032
adapt_sample_105_clean,../data/adapt/adapt_sample_105_clean.wav,بس أنا,1.632
adapt_sample_106_clean,../data/adapt/adapt_sample_106_clean.wav,عقبال إخواتك يا بتي,2.688
adapt_sample_107_clean,../data/adapt/adapt_sample_107_clean.wav,بإن هي هي قصور من قاصر قصور الثقافه هي هي ما فيش لا تطلعوا حد ولا عملوا حد ولا جددوا ولا بنوا ولا عملوا مسابقات جديده باستثناء مسابقات الموظفين اللي هناك ولا عملوا أي حاجه أين وزارة الثقافه في مصر,22.992
adapt_sample_108_clean,../data/adapt/adapt_sample_108_clean.wav,أه يعني أغلب الماركات العالميه إم يعني أنا,2.904
adapt_sample_109_clean,../data/adapt/adapt_sample_109_clean.wav,ربنا يخليك ليا يا بوي,3.024
adapt_sample_110_clean,../data/adapt/adapt_sample_110_clean.wav,هيقولوا عليه عيان,1.944
adapt_sample_111_clean,../data/adapt/adapt_sample_111_clean.wav,أيوه ده إنت تمام يا عم الله يسهلك,2.28
adapt_sample_112_clean,../data/adapt/adapt_sample_112_clean.wav,بس مريحاه دي من كتر الراحه بتبيض بيض مغلي,5.28
adapt_sample_113_clean,../data/adapt/adapt_sample_113_clean.wav,بس هو كان سايق أقسم بالله سايق ده كان معايا مدير أعمالي أه و كان معايا اللي ماسكه كان سايق,7.272
adapt_sample_114_clean,../data/adapt/adapt_sample_114_clean.wav,تعالوا يا ولاد عمي,5.088
adapt_sample_115_clean,../data/adapt/adapt_sample_115_clean.wav,خلاص هكلمك عربي,1.416
adapt_sample_116_clean,../data/adapt/adapt_sample_116_clean.wav,تاني قعدت تاكل تاكل تاكل تاكل وفجأه يا مصطفى,5.088
adapt_sample_117_clean,../data/adapt/adapt_sample_117_clean.wav,من إمتى وانت بتاخد أبتريل,2.544
adapt_sample_118_clean,../data/adapt/adapt_sample_118_clean.wav,إن ربنا مديلك,1.6979375
adapt_sample_119_clean,../data/adapt/adapt_sample_119_clean.wav,تلاقيه يقولها الظروف اكده يقولها هديكي اختي دوس دوس دوس جاحد جاحد دوس في الخمسه مثلا عن بيتنا دوس الخمس بنات اخواته دوس الخمسه بيخدوه في الزرع كان ده كان طلع من السجن,15.456
adapt_sample_120_clean,../data/adapt/adapt_sample_120_clean.wav,نصره منصور,3.192
adapt_sample_121_clean,../data/adapt/adapt_sample_121_clean.wav,وهشام الجخ واحد من العوام من من من الناس اللي في الشارع توجع وأذى من من هذا الرئيس فخرج عليه يقول فيه شعرا كعادته,12.624
adapt_sample_122_clean,../data/adapt/adapt_sample_122_clean.wav,يعني لما إنت تموتني وأنا أموتك يفضل حريم في البيت,2.472
adapt_sample_123_clean,../data/adapt/adapt_sample_123_clean.wav,و لا دول بياخدوا إيه و لا بيعملوا إيه و لا عموما حب مفتاح الفرج,5.2245
adapt_sample_124_clean,../data/adapt/adapt_sample_124_clean.wav,ما هو هو ولده اللي ضارب ووالد اخوه اللي ضارب,3.576
adapt_sample_125_clean,../data/adapt/adapt_sample_125_clean.wav,مع حضرتك الدكتوره نصره منصور الأولى على الدفعه,3.984
adapt_sample_126_clean,../data/adapt/adapt_sample_126_clean.wav,ألف مبارك,1.344
adapt_sample_127_clean,../data/adapt/adapt_sample_127_clean.wav,ده ابننا,1.632
adapt_sample_128_clean,../data/adapt/adapt_sample_128_clean.wav,و أنا كاتبلكم شوية أناشيد,2.064
adapt_sample_129_clean,../data/adapt/adapt_sample_129_clean.wav,بالعكس إنت عارف إن كان مطلع القصيده دي مانيش إخوان لكن مسلم و كل المسلمين إخوان و أنا شيلت المطلع ده و ليه مانيش إخوان ليه ليه ما إحنا كلنا إخوان,13.104
adapt_sample_130_clean,../data/adapt/adapt_sample_130_clean.wav,حاطه رجلي فوق رجلي إم على السرير طلع طلع,6.8440625
adapt_sample_131_clean,../data/adapt/adapt_sample_131_clean.wav,لا أنا عايز أنفعك عندك دي,1.632
adapt_sample_132_clean,../data/adapt/adapt_sample_132_clean.wav,وأنا تحت أمر الست أم كلثوم راح كلم عبد العظيم عبد الحق,5.459625
adapt_sample_133_clean,../data/adapt/adapt_sample_133_clean.wav,إم واشمعنا الديك خميس,3.312
adapt_sample_134_clean,../data/adapt/adapt_sample_134_clean.wav,إحنا بنعمل اللي علينا وزي ما ولادك غاليين عليك أنا كمان بناتي غاليين عليا,6.624
adapt_sample_135_clean,../data/adapt/adapt_sample_135_clean.wav,بسم الله الرحمن الرحيم,5.352
adapt_sample_136_clean,../data/adapt/adapt_sample_136_clean.wav,أيوه أيوه أيوه,1.944
adapt_sample_137_clean,../data/adapt/adapt_sample_137_clean.wav,في ظروف الشاي وعندنا كده بيحصل إم إم يعني عندنا المهر أنا في القريه اللي أنا ساكن فيها يعني خمسه وتلاتين ألف جنيه,7.056
adapt_sample_138_clean,../data/adapt/adapt_sample_138_clean.wav,أه يعني يعني يا عم خلي المملكه مملكه و خلي الجمهوريه جمهوريه و احنا مش جايين لا نصدر ثوره و لا نصدر بتاع و لا عايزين ناخد من مملكة حد و لا إمارة حد بلجيكا مملكه و فرنسا جمهوريه و عاملين عمله واحده و عاملين عمله واحده و عاملين أسلوب واحده و عاملين,21.936
adapt_sample_139_clean,../data/adapt/adapt_sample_139_clean.wav,إم وليه إحنا بنتكلم عن ناسنا تعالى في الإخوان,6.0343125
adapt_sample_140_clean,../data/adapt/adapt_sample_140_clean.wav,أنا خميس العريس,2.472
adapt_sample_141_clean,../data/adapt/adapt_sample_141_clean.wav,ابنك يقولك ثورتك عارفه الطريق,3.1869375
adapt_sample_142_clean,../data/adapt/adapt_sample_142_clean.wav,ما يخلصشي,1.416
adapt_sample_143_clean,../data/adapt/adapt_sample_143_clean.wav,صعايده ماسكه فيا الصبح وهي جايبه طبق الفول لما أبصلها كده يوجع على الطبق,6.321625
adapt_sample_144_clean,../data/adapt/adapt_sample_144_clean.wav,النوبي مين,0.864
adapt_sample_145_clean,../data/adapt/adapt_sample_145_clean.wav,هو ده الفروج,6.6
adapt_sample_146_clean,../data/adapt/adapt_sample_146_clean.wav,أكيد,0.528
adapt_sample_147_clean,../data/adapt/adapt_sample_147_clean.wav,ولا عاوزه الحكومه تنبسط منه,2.50775
adapt_sample_148_clean,../data/adapt/adapt_sample_148_clean.wav,أنا حر يا عمي أبويا بس اللي ليه كلام عليا,4.224
adapt_sample_149_clean,../data/adapt/adapt_sample_149_clean.wav,لإمتى التار ده لإمتى يعني,1.776
adapt_sample_150_clean,../data/adapt/adapt_sample_150_clean.wav,وكنا نرسم العربي ممشوقا بهمته له صدر يصد الريح إذ تعوي مهابا في عباءته,13.272
adapt_sample_151_clean,../data/adapt/adapt_sample_151_clean.wav,اه عارفها دأ,1.176
adapt_sample_152_clean,../data/adapt/adapt_sample_152_clean.wav,بص هو إحنا هناخد براءه يعني في اخر كل الحدوته دي أنا واثق من القضاء المصري إن هو هو هيديك براءه أوكي لأن الجسيد واضحه أه إنها ما فيهاش أي دعوه للفتنه كويس بس هو لحمك ضايقك,19.32
adapt_sample_153_clean,../data/adapt/adapt_sample_153_clean.wav,ليه بتعاملي عيال عمك بالقسوه دي يا نصره دول مهما كان عيال عمك,26.112
adapt_sample_154_clean,../data/adapt/adapt_sample_154_clean.wav,المهم بصت فايقت كده وقالت أعزائي المشاهدين فاصل ونواصل وأغمى عليها تاني,4.968
adapt_sample_155_clean,../data/adapt/adapt_sample_155_clean.wav,جناح برشات حزانه,3.1608125
adapt_sample_156_clean,../data/adapt/adapt_sample_156_clean.wav,أه و بيجيلها عريس و اتنين و تلاته واخد بالك و يقولولها اتجوزت تقولك لا أنا خلاص خدت حظي من الدنيا أنا هقعد أربي أولادي,6.912
adapt_sample_157_clean,../data/adapt/adapt_sample_157_clean.wav,دي الأستاذه منى الشاذلي طبعا,1.968
adapt_sample_158_clean,../data/adapt/adapt_sample_158_clean.wav,خدت بالك إنت أمال إيه يعني كان واحد,8.88
adapt_sample_159_clean,../data/adapt/adapt_sample_159_clean.wav,وخيرنا يبقى جوانا مش جواك مش انت تاخدني في القرارات وانا اللي امسح بإيدي دراك متتلككش بالناس اللي بيعارضوك متتشتتش متتسوحش بلدنا عايزه يا ريس وحش يسمع نقده بودان وميتكبرش,25.056
adapt_sample_160_clean,../data/adapt/adapt_sample_160_clean.wav,الله يسلمك يا ولدي,1.968
adapt_sample_161_clean,../data/adapt/adapt_sample_161_clean.wav,العمليه نجحت,1.896
adapt_sample_162_clean,../data/adapt/adapt_sample_162_clean.wav,بلد محراب من البركه بعمر النيل بلد دفيانه بالقرأن وبالإمكان,8.4
adapt_sample_163_clean,../data/adapt/adapt_sample_163_clean.wav,تمام,1.56
adapt_sample_164_clean,../data/adapt/adapt_sample_164_clean.wav,أنا بتكلم على إن حكام الخليج بدل ما باصين للقضايا بتاعتنا رايحين يصيفوا في نيس ورايحين يصيفوا في واضحه واضحه واضحه أه قالك لأ,13.536
adapt_sample_165_clean,../data/adapt/adapt_sample_165_clean.wav,يلا,0.576
adapt_sample_166_clean,../data/adapt/adapt_sample_166_clean.wav,يومين,1.752
adapt_sample_167_clean,../data/adapt/adapt_sample_167_clean.wav,اللي هو الأسد ده الأسد ده إم ما يفحتش في الأرض بيعيش على الطبيعه لكن الديب بيفحت شق في الأرض بيفحت شق في الأرض,9.936
adapt_sample_168_clean,../data/adapt/adapt_sample_168_clean.wav,كله بيصفر بيصفر مش عارف ده ميزه ولا لا في الشتا بس دي ميزه والراجل اللي معايا سابني وطلع يجري عليا انا اضربه بالنار وطلع يجري على اخره على البلد خد خد خد ده ابدا ادي فين ده انا دفعت اضربه بالعصايه مقلش انا دفعت اضربه بالعصايه مقلش انا دفعت اضربه كده ورحت انا دفعت اضربه كده ورحت انا دفعت,26.88
adapt_sample_169_clean,../data/adapt/adapt_sample_169_clean.wav,عشان أبويا بيحبك معرفناش نكرهك,3.072
adapt_sample_170_clean,../data/adapt/adapt_sample_170_clean.wav,ماتش الأهلي والزمالك,1.464
adapt_sample_171_clean,../data/adapt/adapt_sample_171_clean.wav,سلوك غريب و سلوك أنا مش فاهمه جدا لكن مش زعلان منه أه و حاسس يعني عادي أنا كتبت ما يمليه عليا ضميري في وقت أنا شايف إن هو الوقت اللي المفروض أكتب فيه,18.312
adapt_sample_172_clean,../data/adapt/adapt_sample_172_clean.wav,إزاي مخلصشي يعني التار,1.2
adapt_sample_173_clean,../data/adapt/adapt_sample_173_clean.wav,اسمع بس مخلوقات الذاكره دي مخلوقات شفافه مش واقعيه مش,6.609
adapt_sample_174_clean,../data/adapt/adapt_sample_174_clean.wav,لأجل الحظ أروح أجيب الطياره ألقى الأربع فرد مريحات,5.16
adapt_sample_175_clean,../data/adapt/adapt_sample_175_clean.wav,دلوقت واقعين في عرضي ده إنتو عمركم ما عديتوا رجليكم تراب وقلتوا نسأل على بنات عمي,6.312
adapt_sample_176_clean,../data/adapt/adapt_sample_176_clean.wav,تمام وجاها يا بوي,1.944
adapt_sample_177_clean,../data/adapt/adapt_sample_177_clean.wav,رايقه وخير,2.112
adapt_sample_178_clean,../data/adapt/adapt_sample_178_clean.wav,أنا بخليها تدبحني غصب عنها,3.048
adapt_sample_179_clean,../data/adapt/adapt_sample_179_clean.wav,ليه يابا سلامتك أنت عيان,2.568
adapt_sample_180_clean,../data/adapt/adapt_sample_180_clean.wav,ستمية كوبايه بودن ستمية كوبايه من غير ودن,3.696
adapt_sample_181_clean,../data/adapt/adapt_sample_181_clean.wav,إم فلما يكون ده جوايا إم هذا الإحساس الطيب,5.8514375
adapt_sample_182_clean,../data/adapt/adapt_sample_182_clean.wav,خلاص بكره تجيبولي عقد فدانين أبوي,2.976
adapt_sample_183_clean,../data/adapt/adapt_sample_183_clean.wav,المهم على ما زودت العجل,2.16
adapt_sample_184_clean,../data/adapt/adapt_sample_184_clean.wav,العالم الإسلامي الشيخ عبد الباسط عبد الصمد الشيخ محمد صديق المنشاوي شيخ الأزهر الحالي,5.52
adapt_sample_185_clean,../data/adapt/adapt_sample_185_clean.wav,والبت برضو بتشيل اسمك وهتشوف يا ناصر,6.552
adapt_sample_186_clean,../data/adapt/adapt_sample_186_clean.wav,و أنا أنا واخد بعض أغنياتها,4.4408125
adapt_sample_187_clean,../data/adapt/adapt_sample_187_clean.wav,بس مطلعه أول أول الثانويه العامه على مستوى الجمهوريه أه صح دي من القريه اللي انا فيها,7.032
adapt_sample_188_clean,../data/adapt/adapt_sample_188_clean.wav,طب ليه استفزني,1.776
adapt_sample_189_clean,../data/adapt/adapt_sample_189_clean.wav,تعلمنا مناهجكم ألستم من تعلمنا على يدكم بأن الثعلب المكار منتظر سيأكل نعجة الحمقى إذا للنوم ما خلدوا,11.232
