audio,transcript
test_sample_1027_clean,عليه الصلاة والسلام عليه الصلاة والسلام عليه الصلاة والسلام عليه الصلاة والسلام عليه الصلاة والسلام عليه الصلا
test_sample_1028_clean,إن أنا بقول إن شاء الله بسيطه إم إم
test_sample_1030_clean,اللي جت إنك خمسه و عشرين سنه
test_sample_1031_clean,لكن لو جيت فإنت فإنت فإنت هتيجي تاخد على الأقل عزاء تمنتاشر ألف جنيه و الله
test_sample_1032_clean,يا ربما تحكوا على الهياسه وأنا أظن مصابه على إني لما أتكلم على مؤسسة الرياضه مجلش الإخوان المسلمين لأن أنا مش معادل للياسه وأنا أظن مصنع على إني لما أتكلم على مؤسسة ليااسه مجلش الإخوان المسلمين
test_sample_1033_clean,إنت ظروفنا إحنا كنا الزمن بكري شويه
test_sample_1034_clean,صحيح مخليش العريش
test_sample_1035_clean,<fil> <fil> <fil> <fil> <fil> رفضت
test_sample_1036_clean,هو أرضي طبيب طب ما هو أرضي طبيب طب ما هو أرضي طبيب طب ما هو أرضي طبيب طبيب طبيب
test_sample_1037_clean,بعد كده يعني ممكن أأذن يعني إيه بدخولنا على
test_sample_1038_clean,إحنا مش على مش على مله واحده يعني
test_sample_1039_clean,مهياه من أنا خ فروقفه جدا أنا خبره
test_sample_1040_clean,استخسروها في الحلفوني و يعني كئ واعتبارها نازله
test_sample_1041_clean,لو الله المسأله بجد لا ما
test_sample_1042_clean,يعني كل اللي تعرف إنها ناقصه
test_sample_1043_clean,الموجوده دي الموجوده دي الموجوده دي الموجوده دي الموجود
test_sample_1045_clean,فلا السودا لو بنقصر ولد جوله نور خلوا على فكره الجسيبه دي متجاله جابلي سورة تونس فلقيت هو جابلي ثورة تونس
test_sample_1046_clean,قبل ما هو الشهر يعني سابوا ده كان صوره دي تشبيهات أنا بوصطبلك دي جديده فجالبنك دي بديك مسكوا في إنشن بيجون طب جسمة اخر اخر محرفه في أولاء
test_sample_1047_clean,جالي ضيوفي في الجراش والطياره رئيس الناشئين
test_sample_1048_clean,دنيا
test_sample_1049_clean,يعني لكن أنا شعر وبتاعله
test_sample_1050_clean,هيكون جبتها
test_sample_1051_clean,كانت معاه ناصر الفكريه يعني وساعدتهم
test_sample_1052_clean,وعارفها يا باشا أنا عايز أعرف
test_sample_1053_clean,<fil> <fil> <fil> <fil> <fil> <fil> <
test_sample_1054_clean,لأ مش حياه و لا نديرها
test_sample_1055_clean,وزارك على أسعار مثلا لم يشتم محمد حساسيه ميكا يعني يعني هذا رجل
test_sample_1056_clean,لا أذن الدكاتره أذن الدكاتره زي ما الدكاتر
test_sample_1057_clean,سقوطه كبيره
test_sample_1058_clean,ربنا يكرمك يا رب من
test_sample_1014_clean,فكان مصطفى شرك معاهم ملور في الفكري وكده إم إم يعني إم
test_sample_1029_clean,وأنا عجول مجلس مصدع ونشوف هيصدد من فين
test_sample_1044_clean,الصلاة والسلام عليه الصلاة والسلام
test_sample_1059_clean,الكتاب ده المقدمه بتاعته كلها كلها الراجل بيدافع عن نفسه دخلت عليا أوضة المكتب يلا أحيانا
test_sample_1074_clean,يعني يعني مثلا كيف أو هاجم هشام جيد من واحد من ال في ال في اللون مثلا أه ما هو ما هو في أستاذ وائل في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في فيي في
test_sample_1089_clean,الوصول
test_sample_1104_clean,ويصطلحوا أميحه أوي أوي أوي أوي أوي أوي أوي أوي أوي أويت أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي
test_sample_1119_clean,استودي شبه المذيعه من المشاكل دي أه فبيخطم مش حطوا الأستاذ جمهور الشهاده
test_sample_1134_clean,كنتي لا يوم ما هو ده مذيعه بعاده عيده خلاص تهدينا والحمد لله
test_sample_1149_clean,<fil> <fil> <fil> <fil> نبتدي
test_sample_1164_clean,سايكه في مشوار على
test_sample_1179_clean,إنه شخصيت كثول
test_sample_1194_clean,بإذن الله
test_sample_1060_clean,وعيت شدده خياله فيه ده الفرص
test_sample_1061_clean,قالك ال ال اليون دي ده بعد مصر شركة المذيور أه أخلي بالك وعملت الجرث أمسمنا ده
test_sample_1062_clean,أكثر ديك بتحبه عشان نسميه على إسماعيليه
test_sample_1063_clean,<fil> <fil> <fil> <fil
test_sample_1064_clean,كليه طعم في الأكل الكليه
test_sample_1065_clean,الدكنيش و لا الفلق وكلاء
test_sample_1066_clean,هو لأقول
test_sample_1067_clean,إوعى
test_sample_1068_clean,و سته و خمسين و سبعه و ستينه و النكسه والناس اللي قر جت
test_sample_1069_clean,ده صعبه و بياخد فيه
test_sample_1070_clean,وقولتله يا جينا
test_sample_1071_clean,فلما تجيبوا لها لبنان ولأمتاجده لها و لا ده ألا باقي وشرعي في الهوا باقي سقينا الزلا أو هيئة سوريا
test_sample_1072_clean,وطالهم ماجتش معاهم
test_sample_1073_clean,اصطفى رضا إم
test_sample_1075_clean,فكننا باينما مثلا كان فيه شويه برضو بيقعدوا هو اللي بنقابل ده هو
test_sample_1076_clean,لازم تعرف إنك إنت شابني شويه إم مخدتش بالك و ده كلام كيك كتير يعني قال في الحكايه دي
test_sample_1077_clean,عن صباح ضرب عمل إم عمل معاها وأنا وأحركه ولا زمانيه سهلها أيوب
test_sample_1078_clean,لأني كان بيتي أه في المجلس العسكري و كان بيجيل في أصل البالغ و كان بيموتوا طبعا في المجلس العسكري و كان بيجيل في أصل البالغ و كان بيموتوا أه أه لأن كان دي أه في المجلس العسكري و كان بيجيل في أصل البالغ و كان بيموتوا طبعا في المجلس العسكري و كان بيجيل في أصل البانك و
test_sample_1079_clean,لا هو ما حضرتك هنقول حاجه وحشه أوي أوي حلو أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي
test_sample_1080_clean,ما هو إحنا هناخد الفروتين دول عشان نعمل عليهم اختبار على الشركه
test_sample_1081_clean,قاله إيه هل عبد العظيم بقى أنا بقول لغزه وكذا وكذا وكده
test_sample_1082_clean,وفرد العمليه فشلت
test_sample_1083_clean,يعني حتى اللون ده و حتى يوم تلاته إحنا بعين تمنتاشر ألف تسكارها الناس دي جايات تعزيك لو ما جيكش أزرق معك
test_sample_1084_clean,ملاعب الأستاذ على الحمله الحديده أول مره شوف
test_sample_1085_clean,أه أه بيبوظ ألاك في كل دول في كل جمله و بيخليك تبولي الجسيده من أولها وبيسيب الحقيقه دي أمي والدور
test_sample_1086_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1087_clean,أنا كنت أعمله
test_sample_1088_clean,و حصل يوم التلاته و الحفله يوم الجمعه في ذكر التلاجه الخنيس و الحفله
test_sample_1090_clean,هو الاتفاق الوقت إم وتاري عمرها ناس و كلمه قولتها قبل النهارده
test_sample_1091_clean,أول حاجه إحنا عندنا أستاذ ظبطنا نماذج المشرفه
test_sample_1092_clean,محمود عامة الراديو ملوش حاجه
test_sample_1093_clean,الحقيقه و لا يفرق كليه أه وجعف واحده جميله من أنديكهم بالتعاونين
test_sample_1094_clean,قالي بصي هيخ إنك تيجي نعملها فين واجب صح بحيث لسه حلة الورق و حصلت إحنا بظبطين حفله من جميع الشغل مثلا أه إنت تيجا ببلاغ و نأمل العمر جميله مع بعض و و و أرجع إم و كان أياميها كان أياميها فترة حياة سينا
test_sample_1095_clean,بستفاقطهفاقطهفا
test_sample_1096_clean,و أنا كده خدت فينها كده خدت فينها كده خدت فينها كده خدت فينها كده خدت فين
test_sample_1097_clean,<fil> <fil>
test_sample_1098_clean,أنا مش هطلع بره
test_sample_1099_clean,بترفرا في جابلي ترحل قناح بريشات حزانه والساداد الدينيه
test_sample_1100_clean,طبعا أه طبعا أه طبعا أه طبعا أه طبعا
test_sample_1101_clean,أعرف البنات الحلوه دي هل جدع بجنيه
test_sample_1102_clean,بس والدوره جواه
test_sample_1103_clean,بس اسمه محدش هيرضي يشتري مننا و أي حد عايز أفض أنا جوه أبد
test_sample_1105_clean,قعد عن مدام شهادة الكفن هتعلن أيوه
test_sample_1106_clean,أنا لا أعتذر الأسماء أو الحكومه استرحل تشاتاتتنا على يدي الكون و كلهم لا في تتكات
test_sample_1107_clean,إدينا عمل دون من جينا
test_sample_1108_clean,ورد كوبايه في كل
test_sample_1109_clean,حتى لو طول ما هو ده فقولتله ما هو
test_sample_1110_clean,جمالها طقس ده زمنيه
test_sample_1111_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <f
test_sample_1112_clean,أو سكه ليك بالليل أه يعني يعني مؤثره كاتب أنا كاتب دلاويا واقعي بس لما ناجي بعيدا عن الكاميرا بالشكل ده يعني هي شهادة الدخي وحسب على على على الصائد التي يقولها في
test_sample_1113_clean,حضرتك إحنا هنبعتلك نصي والسيدة سعيد
test_sample_1114_clean,ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو ما هو
test_sample_1115_clean,أخر نور في الدوري أخر نور في الدوري
test_sample_1116_clean,لأ ما هما بدرينا يعني إشرفت يا عيني العامي
test_sample_1117_clean,خلاص أه
test_sample_1118_clean,بص يا أستاذ محمد يخلينا برضو نبول إن إحنا عايشين فاكره أه طبيعة الفطره لازم ترجع إنت شخص الزكي جدا متاخدش الكلى على صدرك
test_sample_1120_clean,يقدر يحطها في التلاجه جامعه
test_sample_1121_clean,عليه الصلاة والسلام عليه الصلاة والسلام اللي قالي براحه
test_sample_1122_clean,<fil> <fil> هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخدوا هتاخد
test_sample_1123_clean,قبل ما يحييك ربنا يكرمك من النجوم يحدث معاك ربنا يكرمكم جميعا من ال من البنور بهذه الهجروبه لكن ما هو لما ربما وللأل مثلا الأعلى
test_sample_1124_clean,أنا و باجي أنا و باجي بطياره
test_sample_1125_clean,يقولوا يدخلوا
test_sample_1126_clean,ده من كمان أقوى أقرب أقع أقرب أقع أق
test_sample_1127_clean,تطيف ما تقدرش تمسكه في سط
test_sample_1128_clean,ياخي أنا ملجيبش حاجه أقدس من من من الصلاه إن أنا أشاد بهذه الطرق بتاع حبي ليه إني مش حب شهواني وإنه مش حبي فنيه وإنه مش هكون من الصلاه إن أنا أشد بهبيها الطرق بتاع حبي ليه إنه مشحب شهواني و إنه مش حب فني وإنه مش هكون من الصلاه إن أنا أشاد بهذه الطرق بتاع حبي ليه إنه مشحب شهواني و إنه مش حب فني وإنه مش هكون من الصلاه إن أنا أشد بهبيها الطرق بتاع حبي ليه إنه مشحب شهواني و إنه مش حب فني وإنه مش هكون من الصلاه إن أنا أشاد بهذه الطرق بتاع حبي ليه إنه مشحب شهواني و إنه مش حب فني وإنه مش هكون من الصلاه إن أنا أشد بهبيها الطرق بتاع حبي ليه إنه مشحب شهواني و إنه مش حب فني وإنه مش هكون من الصلاه إن أنا أشاد بهذه الطرق بتاع حبي ليه إنه مش حب شهواني وإنه مش حابه فنيه وإنه مش هكون من الصلاة إن أنا أش
test_sample_1129_clean,ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه
test_sample_1130_clean,و على فكره لو مدبحتيش الفاروب ده النهارده هندفعج غرامه و إنتاجلي
test_sample_1131_clean,قولتله أنا مخترش
test_sample_1132_clean,ينفع حب الكاميرا <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1133_clean,في بطيع الله في ملاكوته بطيع الله في ملايكات و بدأ يزيدني من فضلوا من جوده وصل يصوم وجاهد نفسه يصبر على البلا وحمد و حندي دون إم لأنه لذيذ الواقع
test_sample_1135_clean,وبركه مسم نفروجي عليا إسمها
test_sample_1136_clean,زي ما أسقاط لأ يعني اللي يسقط الحسن إمبارك يا أستاذ
test_sample_1137_clean,اللي جت
test_sample_1138_clean,لمذه تحديدون الخمسه دي الأعلاء فقاصمتهم أوروبا ودخلنا باينكوا سينما أكامل ال عن سيدة ضيفه في صدري واديكم يقعدوا يعادي
test_sample_1139_clean,أكبر وكأنها
test_sample_1140_clean,
test_sample_1141_clean,بسم الله الرحمن الرحيم إلى مشاهدي قناة سعاده معلش إشتركوا في القناه و دعمنا بلاقيه ومتنسوش تفعيل الجرث علشان يوصلكوا من كل جديد و لسه اللي جايه إحنا
test_sample_1142_clean,إيه
test_sample_1143_clean,أكتر الناس يعني اللي تشدهمت من الأظام
test_sample_1144_clean,ليه هو مين نكجه
test_sample_1145_clean,يوم تلاتين سته الغضبه في مصر على غاضبون في مصر هينزلوا الشلق
test_sample_1146_clean,فإننا هي ماديش حكايه
test_sample_1147_clean,مش كتير أوي اليوتيوب أميني
test_sample_1148_clean,حرم عليكي كان عصر رب ميقدرش بالصلط
test_sample_1150_clean,علاقته كانت سايئه محمد الله هي ست مقصرتش إنما أنا كأكول إن كان ليا تركيبه معينه تكسرتش إنما أنا كمكن كان ليا تركيبه معينه تكسرتش إنما أنا كمكن كان ليا تركيبه معينه تكسرتش إنما أنا كأكول إن كان ليا تركيبه معينه تكسرتش إنما أنا كمكن كان ليا تركيبه معينه تكسرتش إنما أنا كمكن كان ليا تركيبه معينه تكسرتش إنما أنا كمكن كان ليا تركيبه معينه تكسرتش إنما أنا كأكول إن كان ليا تركيبه معينه تكسرتش إنما أنا كمكن كان ليا تركيبه معينه تكسرتش إنما أنا كأكول إن كان ليا تركيبه معينه تكسرتش إنما أنا كأكول إن كان ليا تركيبه معينه تك
test_sample_1151_clean,إنت فدنيا وأنا فا الدنيا
test_sample_1152_clean,تمام
test_sample_1153_clean,و أنا غيرت
test_sample_1154_clean,و بعديه ناجي النهارده كان
test_sample_1155_clean,لأنه في ناس كتيره في الصعيد نبعتلي إن يعني هو الظهور هيكون مع حضرتك
test_sample_1156_clean,أقل من العيال
test_sample_1157_clean,و الله يعني حاجه غريبه يعني يعني في حاجات في حاجات لازم الناس يعني ترجع
test_sample_1158_clean,<fil> هو اللي شفت كلامك جايب ويعبد الله الجيارين
test_sample_1159_clean,وشايفه أوي أه
test_sample_1160_clean,وشرط كفاء للدفان توجه للمواطن مالي ما جاش بنات أمانه
test_sample_1161_clean,مكنش جابوا إنه يدبح شعبوا ميقدرش فإحنا كل اللي بيتكلم فيه إن هذه هذه الأرض بكل سنواتها بكل خيراتها بكل اللي فيه
test_sample_1162_clean,يعني
test_sample_1163_clean,ده موافقه نتقاله يعني فعايز أدي الجمو وجاب أخره إم دي فيديوهات بست أنا بقولك المسلسل أنا بقول جمال
test_sample_1165_clean,أغنيه إتولدت أه قبل النهارده إم أنا يعني أنا قولت خلاص إم إم
test_sample_1166_clean,و ممكن تودي نفسها تف ده أنا قدر الله
test_sample_1167_clean,أه أه أه أه أه أه أه
test_sample_1168_clean,عليه الصلاة والسلام
test_sample_1169_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fiيه
test_sample_1170_clean,الحاج جماله الحديله غاويه هو أن يقسد للشخص مكان ده بكام بكام بكده بكام
test_sample_1171_clean,سامحني يا بنتي
test_sample_1172_clean,إحنا لو جينا في عرض كده بالتأمني
test_sample_1173_clean,وعمل إبني عبد الحمام أمنه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه
test_sample_1174_clean,أوروبا
test_sample_1175_clean,<fil> <fil> <fil> <fil> <fil> <fil>صريين
test_sample_1176_clean,و الله أعلن برضو عشان ماضيش أنا بدون إيه الكلام أنا مش أنا مش واثق منه أنا معرفش إذا كان هو بالفعل إده تعليمات بإذن الله إن شاء الله بإذن الله مش أنا مش واثق منه أنا معرفش إذا كان هو بالفعل إده تعليمات بإذن الله عليه الصلاة والسلام أنا مش أنا مش واثق منه أنا معرفش إذا كان هو بالفعل إده تعليمات بإذن الله عليه الصلاة والسلام أنا مش أنا مش واثق منه أنا معرفش إذا كان هو بالفعل إده تعليمات بإذن الله
test_sample_1177_clean,ما فيش حلو غير إني أحد دول مدور شمك الهل و السدي في العاصير وفارقيش من الجوازات
test_sample_1178_clean,والبنات النهارده بس النها بنوصل فوق التلاتين سنه و مش بدري تجاوز
test_sample_1180_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1181_clean,لأ عيد المذيعه النظيفه ده صحيح نعم بيبوا مع على عشرات
test_sample_1182_clean,سورة مفرقتش فهي عليه وأنا بعمل العمليه
test_sample_1183_clean,و أبادات السعاده و أمهاتم معاها إم واخت بالك الراجل اللي يحذن شويه ويخش الجنازه مرحباش
test_sample_1184_clean,إيه مينفعش أقولهم لو مش عجينه أه أه يعني لما كنا بنبول على جاحه
test_sample_1185_clean,يا بني ادم وده مسميها علاسي
test_sample_1186_clean,إم شدي أجيال يجيبوا الناس يجيبوا
test_sample_1187_clean,الجنود وربنا الأنشي كذا
test_sample_1188_clean,أه وده في الشعر يعني ده في الشعر يعني ده في الشعر يعني
test_sample_1189_clean,يبقى هو بيبان ده مديونات الوافتعه بيبان ده مديونات الوافتعه بيبان ده مديونات الوافتعه بيبان ده مديون د
test_sample_1190_clean,ملهمه مهك لا بشكل جعتي معاهم
test_sample_1191_clean,فا اللي إحنا فيه ده يعني لما جينا الأهد دلوقتي
test_sample_1192_clean,الناس كانت تخرج من بعض إم نستخدم يعني لما أعلمنا إنك تبقى سيده هو أو غانوا
test_sample_1193_clean,كان حد شيك في السيناريو
test_sample_1195_clean,نمره واحد أنا قمتني إنتماء كامل للمعتصمين في عندي وزارة الصفه أنا هطلع من عندك عليهم
test_sample_1196_clean,أيوه يا با كنت حلس أنا جي حاسلك الأكل في من البطيجه
test_sample_1197_clean,أه
test_sample_1198_clean,أه أه
test_sample_1199_clean,<fil> <fil> الإتنين
test_sample_1200_clean,هو قد كان ما أنا حواليك أه أه
test_sample_1201_clean,مدام كده كده هتسيبها متفرقتش لمين يا ناصر
test_sample_1202_clean,الصلاة والسلام أخوه
test_sample_1203_clean,وطبعا تخوه
test_sample_1204_clean,أقوال متناقله يعني مفهاش يعني ما زالت يجيلها حقيقه إزعاج من أصيدنا
test_sample_1205_clean,طب عن جلها هسمت مين يا أستاذه جاءت إن هو مش هدي دي
test_sample_1206_clean,فقولت منعاتمة اليليباطه الأخرى أمهات وبال أعرف إيه بتاعة الانتصار
test_sample_1207_clean,بس لو دي مش أصلا ما كنتش ممكن أتجوزها إم بدون القبائل ما ينفعش هو نقول
test_sample_1208_clean,أخويا جابر تخويا
test_sample_1210_clean,وسمها إيه الدكاتره دي يا دكتور
test_sample_1211_clean,مش عايزين إزازه
test_sample_1212_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fi
test_sample_1213_clean,مش عارف الكلام الأخود دي جاله و لا خلاب المفروض اللي هو ميت مايتلش بس إحنا كانت السكه مفتوحه أعلننا لو عايزين ندخل القصر و كلها حاجات كان مايتلش بس إحنا كانت السكه مفتوحه ألمنا لو عايزين ندخل القصري كلها حاجات كان ميدلش بس إحنا كانت السكه مفتوحه ألمانيا
test_sample_1214_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <f
test_sample_1215_clean,عليه الصلاة والسلام عليه الصلاة والسلام أه طبعا
test_sample_1216_clean,لا حضرتك من الأسرار مباشر الساعه صفاتها
test_sample_1217_clean,قولتله كده بطوله عندك عبد العزيز مع بيي حق لا عبد العظيمعم قليلها
test_sample_1218_clean,ده هو أصلا أبوها يعني عواضي إنت لو في خيار مكان شوبة الكوببه في كل دي
test_sample_1219_clean,بعته في في برنامج التلفزيوني في بتاع أتحسب في برنامج التلفزيوني في بتاع أتحسب
test_sample_1220_clean,إذا ما عرفتي دول عمرك هطلبتكش
test_sample_1221_clean,وعارفاتي وع الخاتي
test_sample_1222_clean,اللي يساعدت الكواليس
test_sample_1223_clean,يا خرباتك يا اللي هو حاضر يا دكتور
test_sample_1225_clean,إنت ماليدش عليكي لا تطلعطني نعم تجوم المعركه
test_sample_1226_clean,جينا بلاها بإن الطر اللي عنده حضرتك مريض بالكاميرا يا ريت تجيبي إبراهي عند حضرتك نكشف عليا يا فندم
test_sample_1227_clean,أه أه
test_sample_1228_clean,و إنت جيت لابدسني العينه إم يعني عشان أطلع أنا اللي أيه
test_sample_1229_clean,طب خلاص أنا خلاص المملكيش اللي
test_sample_1230_clean,ويكتب بروبيات ويكتب أسره
test_sample_1231_clean,الله سبحانه و تعالى
test_sample_1232_clean,حتى مجلس النواب هي الدكاتره
test_sample_1233_clean,نظام دفاهم إشترك أيوه أه نظام ده فهمي إشترك ده لو حصلت بين الدول العربيه ماكنش ينفع يحصل في سوريا اللي حصلت ده كان في أنفع كان خد على أدمان
test_sample_1234_clean,صلى الله عليه وسلم عليه الصلاة والسلام عليه الصلاة والسلام
test_sample_1235_clean,يا عيني أه أه يا عيني أه أه يا عيني
test_sample_1236_clean,هو مين هيسيبك تعمل كده افتح الخريطه و لا ويعني قوت وتتفرج معاه
test_sample_1237_clean,و هتريدها تعاليه مشفته لا جالوبي
test_sample_1238_clean,أه أه أه
test_sample_1240_clean,في ناس كتير حاجه متكتبه من من بعد الرئيس السيسي أصبح الرئيسي علينا بإسبوعين وتلات أسئبيه أنا بتكلم بعد عشرت أشهر أه وشايف إن أنا من حد أجول
test_sample_1241_clean,و العمر البهجه عليه
test_sample_1242_clean,يروح بنزل الفيديو و ينزل عليه صور لبرامج ليا في في في التلفزيون
test_sample_1243_clean,لأنها مواجهه الصعيدي على الريس أنا حضرتك أنا جادل أزهر مع حضرتك و الله أغلى الماركات يعني ألبس و الله
test_sample_1244_clean,ده خربان أه
test_sample_1245_clean,طبعا يعني يعني أنا أستحمي أنا أتكلم في في في في الموضوع ده هو دي في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في في
