audio,transcript
test_sample_1035_clean,أعراض إيه ده يعبد روحنا كنتي م حصلتش دنيا ولا يامع ما هو بعدين فجأك ليه أخدها أقولها دي خدها أقول ليلة <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> 
test_sample_1036_clean,هو أرضيه طب أنا أرديه طب أنا أرديه طب أنا أرديه طب أنا أرديه طب أنا أرديه طب أنا أرضي
test_sample_1037_clean,بعد فبعد ما تصيبوا يعني إيه بعض الواقع اللي ممكن يقفل يعني إيه بدخوله على
test_sample_1038_clean,أحنا مش على مش على مله واحده يعني
test_sample_1039_clean,وهي من أنا خبره
test_sample_1040_clean,استخسروها في الخلفوني و يعني كتبره نازله
test_sample_1041_clean,لا و الله ناس أنا بجد لما
test_sample_1042_clean,يعني كله تعرف إن هي ناصر
test_sample_1043_clean,ده موجه ده و لا و لا و لا و لا و لا و لا و لا و لا و لا
test_sample_1045_clean,فلا السودان ومن قصر جم ولدوله محترمه على فكره الجسيده دي مدياله جبل ثورة تونس فلقيت هو جابلي ثورة تونس أبو ظابط فدهس و دهنه منتصم والولد جلال و محتللون و لا لبلانه من كسرولي وده و الجرحه والفرق ده
test_sample_1046_clean,قبلها وشريعي يعني سابوا ده كلام محصول جيت أشبيهات أنا بوصدلك دي جديد بجنبنك دي بديك مسكه في إنكشن بيجو طب جسمك اخر اخر محرفه في أولاء
test_sample_1047_clean,ده اللي ضفيه في الجرعش والطيع رئيسي ستاشر
test_sample_1048_clean,ضاعه
test_sample_1049_clean,يعني لكن لما شعرت عنه
test_sample_1050_clean,إيه جم جبتها
test_sample_1051_clean,كانت معاه نفس الفكره يعني ويساعدته
test_sample_1052_clean,معملها يا باشا أنا عايزه عارف
test_sample_1053_clean,صلى الله عليه وسلم عليه الصلاة والسلام عليه الصلاة والسلام عليه الصلاة والسلام عليه الصلاة والسل
test_sample_1054_clean,مش صحيحه ولا ندارها
test_sample_1055_clean,وزرت أنا أزعق مثلا لما يشتمني محمد حساسنا ليك يعني يعني هذا رجل
test_sample_1056_clean,لازم ندافع لازم ندافع لازم ندافع لازم ندافع لازم ندي
test_sample_1057_clean,سوق تدبير
test_sample_1058_clean,هلاقي تربي
test_sample_1014_clean,فكام نص فإنشارك معاه ملور فيه سكنيه كان يعني إم إم يعني إم إم يعني إم إم
test_sample_1029_clean,وأنا عجول مبرشاء مصدع و نشوف هيصدك من فينا
test_sample_1044_clean,صلى الله عليه وسلم عليه الصلاة والسلام عليه الصلاة والسلام عليكم و السلام
test_sample_1059_clean,الكتاب ده المقدمه بتاعته كلهاكلها الراجل اللي بيدافع عن نفسه ضد اللي اتفهموه
test_sample_1074_clean,يعني يعني مثلا كيف يهاجم هشام الجزء من واحد من الفلون مثلا أه ما هو ما هو في أستاذ وائل في في في
test_sample_1089_clean,و ناصر
test_sample_1104_clean,ويصطلحه ويمليحه وعايزه كتيره أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي أوي
test_sample_1119_clean,مستودي شبه المذيعه من المشادي بيها صديقته مش حتته الأستاذه مرشاده
test_sample_1134_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <f
test_sample_1149_clean,<fil> <fil> <fil> <fil> التغيير إتعمل كده مصر
test_sample_1164_clean,<fil> <fil> <fil> في مسارح
test_sample_1179_clean,إنه شخصيت كسول
test_sample_1194_clean,<fil>
test_sample_1060_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> إيت شندله خياله فيه ده الفرص
test_sample_1061_clean,قالك ال ال المودي ده بعد مصر مدرسة كل العشب أخلي بالك و عملت الجرسه مسمنا ده
test_sample_1062_clean,أكثر ديك بتحبه عشان نسميها على اسمك
test_sample_1063_clean,<fil> <fil> <fil> <fil
test_sample_1064_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> في الأكل الكليه
test_sample_1065_clean,الديك الخميس ولا الفارقه وطلاقه
test_sample_1066_clean,و لا أقول
test_sample_1067_clean,بواكبك
test_sample_1068_clean,و سته و خمسين و سبعه و ستين و النكسه والناس اللي خرجت
test_sample_1069_clean,ده صعبه وبياخد فيه
test_sample_1070_clean,جول كل جسمه
test_sample_1071_clean,فلم تجد لها لبنان ولن تجدده لها ولادها ألا باقي وشرعي في الهوا باقي سقينا الزلا أو حياة سوريا
test_sample_1072_clean,بطلهم مجتش معاهم
test_sample_1073_clean,اصطفى رضا إم
test_sample_1075_clean,فكنا باينه مثلا كانلي شويه برضو بيقعدوا يقعدوا و لا بالنسبالك ده هو يعني
test_sample_1076_clean,لازم تعرف إنك إنت شفته شويه مخدتش بالك و ده كلام كيك كتير يعني قال في الحكايه دي
test_sample_1077_clean,عن صواح برضو عمل إم عمل معاها هنا وحركه و لا زمانيه سلاء عيون
test_sample_1078_clean,لأن كان بي أه في المجلس العسكري و كان بيجيل في حصنبولك و كان بيموتوا
test_sample_1079_clean,لأ و الله حضرتك أنا أول حاجه وحشه أوي أوي أوي
test_sample_1080_clean,إحنا هناخد الفروتتين دول عشان نعمل عليهم اختبار على الشربه
test_sample_1081_clean,قاله إيه أقل عبد العظيم بقى أنا بقول لسياسه وكذا وكذه التواجد يقللون
test_sample_1082_clean,وفرد العمليه فشلت
test_sample_1083_clean,يعني حتى اللون دول حتى يوم تلاته أحلامي عين تمنتاشر ألف أسئله الناس دي جايه تعزيك لو ما جيتش أزرك معاه
test_sample_1084_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1085_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> و بيخلي
test_sample_1086_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <
test_sample_1087_clean,أنا كنت أعمل
test_sample_1088_clean,و حصل يوم التلاته و الحفله يوم الجمعه في ذاكرة أغاني الخمسه و الحفله إم فكلمني المهندس إلى ميوسف
test_sample_1090_clean,وارتفاعات الوقت إم وتاري عمرو يعني ناس كلمه قولتها قبل النهارده
test_sample_1091_clean,أول حاجه إحنا عندنا أستاذه من نماذج مشرفه
test_sample_1092_clean,لمحمود عامة الرياضي ملوش حد
test_sample_1093_clean,و لا بفرق الله أه وشعف واحده جميله من أنديكم بالتعاونيا
test_sample_1094_clean,قالي بصي هخر إنت تيجي نعمل معاه كان واجب الصح محيش لسه حالةلو وفاصل إحنا مظبطين حفله من جميعا في شغل مثلا أه إنت تيجا بوجودها وبنعمل للعمره جميله مع بعض و و ويرجع و كان أياميها كان إيميها في فترة حياة سينا
test_sample_1095_clean,مصطفاق أقلق أقرائق
test_sample_1096_clean,و أنا كده خدت فاضها <fil> <fil> <fil> <fil> <fil> أنا كده خدت
test_sample_1097_clean,<fil> <fil>
test_sample_1098_clean,أنا مش هطلع بره
test_sample_1099_clean,بترفرف جابلي ترحلي يناح بريشات حزانه وسداد إديونها
test_sample_1100_clean,طب أنا هبعتلها <fil> <fil> <f
test_sample_1101_clean,أعرف البنات الحلوه دي هل جدها مجديه
test_sample_1102_clean,بس رنده أوروبا
test_sample_1103_clean,بس يسمع محدش هيرضي يشتري منك
test_sample_1105_clean,عض عنه ده مش أنا كفايه أتعب عنها أيوه
test_sample_1106_clean,و لا لا أحفظ الأسماء و الحكومه اصطلحل تشددتنا على يديككم و كله ناس تتككل بلقته مفكره لأ كذب
test_sample_1107_clean,إدينا عمل دوجه من الجنه
test_sample_1108_clean,ورفض كوبايه في كلية
test_sample_1109_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1110_clean,ده بالكام أستاذه ذمهولي
test_sample_1111_clean,<fil> <fil> <fil> ترشيش
test_sample_1112_clean,أول سكه ليه في ملامك أه يعني يعني مؤثره كاتب أنا كاتب جلوي وائل بس لما نم ج بعيده على الكاميرا أه لأ يعني هشام الجامعه على العالم على الصائد التي يقولها في
test_sample_1113_clean,حضرتك إحنا هنبعتلك مشيوا الصعيدي
test_sample_1114_clean,ما هو معهد مقولوش الحكومه أحدا حكومه أه أحمرها أنا بس
test_sample_1115_clean,أحر نقف الضوء أحر نوف الدون
test_sample_1116_clean,لأ ما هما بدرينا يعني بشرفتي عيال العامي
test_sample_1117_clean,خلاص أه
test_sample_1118_clean,بص يا أستاذ خليني برضو نجوم إن إحنا عايشين فاكره أه طبيعية الفطره لازم تفضل إنت شخص الذكي جدا متاخدش الكلى على صدرك
test_sample_1120_clean,إيه ده اللي حطه في التلاجه يا أمرا
test_sample_1121_clean,عنده ست حد هانيلك قولتلها هتغنيلي إيه قالي بالراحه
test_sample_1122_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil
test_sample_1123_clean,ربنا يخليك ربنا يراحبك من النجوم يحدث معاك ربنا يعفيكم جميعا من ال من ال من البنور بهذه التجربه لكن ما هو لما ربنا واللغي مثلا الأحلى
test_sample_1124_clean,أنا وراجه أنا وراجع بطريقه
test_sample_1125_clean,<fil> و اللي دخل
test_sample_1126_clean,دهم كان أعقد أعتقد أعقد أعتقد أعقد أ
test_sample_1127_clean,الطيف متقدرش تمسكه في سكه
test_sample_1128_clean,يا أخي أنا مالي جبتش حاجه أقدس من من من الصلاه إن أنا أشد به بيها الطرق بتاعها بليه إنه مش حب شهواني وإنه مش حب فنيه وإنه مش حابب
test_sample_1129_clean,هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه
test_sample_1130_clean,و على فكره لو مدبحتيش الفاروق ده النهارده هندفعج غرامه و إنتاجلي
test_sample_1131_clean,قولت لأ أنا مكترلش
test_sample_1132_clean,ينفع حبي كان سنوات أولا كان <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1133_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> بطيع الله في ملايكوته بدعي يزيدني من فضله من جوته وصلي وصوم وجاهد نفسي وصبح على البيئه وحمد و حديثوم لأنه لازج الواقع
test_sample_1135_clean,مركك مصممه فاروقي على أسماء
test_sample_1136_clean,وزي ما أسقاط لأي على اللي يسقط حسن إمبارك يا أستاذ ذواء اللي يصطت حسن إمبارك يسقط الجنبه لكن لكن
test_sample_1137_clean,اللي جت يعني
test_sample_1138_clean,بماذا تحديدون الخمسه دي الأعلن فقامتهم أوروبتنا و ده خلاني منكم سنه أكمل أن عام ساياب تطفلوا في صدري وعارديكم يقعدوا يقعدوا
test_sample_1139_clean,أكبر وك لأه
test_sample_1140_clean,
test_sample_1141_clean,بسم الله الرحمن الرحيم إلى مشاهدين قناة سعاده معلش إشتركوا في القناه و دعمونها بلاية و متنسوش تفعيل الجرث علشان يوصلكم كل جديد و لسه اللي جاه أحلى
test_sample_1142_clean,أه
test_sample_1143_clean,أكتر الناس يعني <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fi
test_sample_1144_clean,ليه هو مين مكذب
test_sample_1145_clean,يوم تلاتين سته غضبه في مصر على غاض يبون فيه بس هينزلوا الشرق
test_sample_1146_clean,فإننا إيه ما تيش حكايه
test_sample_1147_clean,مش كفايه حياه والدنيا
test_sample_1148_clean,حرام عليك كان ناصر ربما ميرضاش في الصلاه
test_sample_1150_clean,علاقتي كان السيئه الحب الله هي الست مقصرتش إنما أنا كوكا كان ليا تركيبه معينه تركيبه معينه تركيبه معينه تركيبه معينه تركيبه معينه تركيبه معينه تركيبه معينه تركيبه معينه ت
test_sample_1151_clean,إنت فدنيا وأنا فا دنيا
test_sample_1152_clean,تمام
test_sample_1153_clean,و أنا الغياب
test_sample_1154_clean,و بعدين لكن معاه كان
test_sample_1155_clean,لأنه في ناس كتيره في الصيدلي أبعتلي إن يعني هو ظهور هيكون مع حضرتك
test_sample_1156_clean,أقل من العيال
test_sample_1157_clean,و الله يعني حاجه غريبه يعني يعني في حاجات في حاجات لازم الناس يعني توجع
test_sample_1158_clean,و الله اللي يشوف كلامك ده يبول حطلنا إحنا طيارين
test_sample_1159_clean,شايفه
test_sample_1160_clean,وشرك كيفا الدفنه توجه للمواطن مالي ماجاش الجندي أمانه
test_sample_1161_clean,ما كانش جاله إنه ده شعبه ميقدرش فإحنا كل اللي بيتكلم فيه إن هذه ال هذه الأرض بكل سنواتها بكل خيراتها بكل اللي فيه
test_sample_1162_clean,يعني
test_sample_1163_clean,ده مفه لازم قاله يعني فعلا أي الجامعه وشبقى أخره إم يخليكي يلا بينا يلا بينا يلا بينا <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> 
test_sample_1165_clean,أغنى اتورده أه قبل النهارده إم أنا أيام ما قلت خلاص إم
test_sample_1166_clean,و ممكن تودي نفسك في ده أنا قدر الله
test_sample_1167_clean,وعايزه وعع
test_sample_1168_clean,هنشوف معموله
test_sample_1169_clean,<fil> <fil>
test_sample_1170_clean,الحاج جمااله الحجر لغه و أن يقصد الشخص مكان
test_sample_1171_clean,سامحني يا بوتي
test_sample_1172_clean,إحنا وجاينا في عرض جب التعلمي
test_sample_1173_clean,وعملدي عبد الرحمن المايك أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه أه
test_sample_1174_clean,أدراابا
test_sample_1175_clean,لا إشتري إنت بأحمر إشتري إنت بقىعايه <fil> <fil> <fil> <fil> <fil> إشتريت
test_sample_1176_clean,و الله أعلن برضو عشان ماضيش أنا بدون <fil> ده تعليمات و مش عايز يعني أيا كان أنا مش أنا مش داخله في الحدث بشكل مباشر دقيقه يعني أيا كان أنا مش أنا مش داخله في الحدث بشكل مباشر دقيقه إم يعني أيا كان أنا مش أنا مش داخله في الحدث بشكل مباشر تعليمات مش عايز يعني أيا كان أنا مش أنا مش داخله في الحدث بشكل مباشره
test_sample_1177_clean,ما فيش حلو غير إني أحد ضل ضور شمك الهل و السادي في العاصير وفر كش للتجوزي
test_sample_1178_clean,والبنات النهارده الصناع بنوصل فوق التلاتين سنه و مش جدرك اتجوزت
test_sample_1180_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> جت
test_sample_1181_clean,لأ عيد ميلاده النضيفه ده ضيق نعم يبقى معلش حمار
test_sample_1182_clean,سورة المفرقتش هيعلي وأنا بعمل العمليه
test_sample_1183_clean,و أباءات الصعده وأمهاتهم معاهم إم واخت بالك الراجل ليحسن شويه ويخش الجنازه مرحه بشك الله سعاده إزيك
test_sample_1184_clean,إيه ما ينفعش أقوله إنه مش عايزين إيه ما ينفعش عيب إن أنا أجول حياة التجربه يعني لما كنا بنبول على جحها
test_sample_1185_clean,يا بني ادم ده مسميه علاسي
test_sample_1186_clean,إم شده أجيال زي ده أشهر اللي حصل كده إم يجيبوا الناس يجيبوه
test_sample_1187_clean,الجنون و ربنا مأمش كذا
test_sample_1188_clean,أه و ده في الشعر يعني أنتو
test_sample_1189_clean,جمهورية مجلس الواقع ويعمل ده مديون للمواطنع يبان كان مديون للمواقع أعتقد إن هو يبقى مديون للمواق
test_sample_1190_clean,ملهاش أنا مش كنت جعتي معاهم
test_sample_1191_clean,فا اللي إحنا فيه ده يعني لما جينا الأهل دلوقتي
test_sample_1192_clean,الناس كانت تخجه من بعض مستحيل يعني لما أعلم منك تبقىص يده و هو أو غنوه
test_sample_1193_clean,<fil> كان حد شيخ في السينما
test_sample_1195_clean,نمره واحده أنا أمتني إنتماء كامل للمعتصمين في عند وزارة الصفحه أنا هطلع من عندك عليهم
test_sample_1196_clean,أيوه يعني ده كنت حماس أنا جه حاسلك الأكل في من البتجاء
test_sample_1197_clean,ده
test_sample_1198_clean,أه
test_sample_1199_clean,<fil> <fil> <fil>
test_sample_1200_clean,متوقعات كان طب ما أنا حول لك أه أه
test_sample_1201_clean,مدام كده كده تسيبها مبتفرقش لمين العناصر
test_sample_1202_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1203_clean,لما تخوهوا
test_sample_1204_clean,أقوى متنقله يعني ما فيهاش يعني ما في جربها عقيقه تزعت من الصيدليه
test_sample_1205_clean,طب عند الله هسمك مين يا أستاذ هي جاتلي هو ميس الحديدي دي دي دي دي دي دي دي دي دي دي دي دي دي دي دي دي دي ديي دي
test_sample_1206_clean,فقولت من عكمة نيللي بطل إخلاء نهار وبعر في انتهى الانتصار
test_sample_1207_clean,بس دي مش أصلا ما كنتش ممكن أتجوزها بدون القبائل ما ينفعش ولا أقول
test_sample_1208_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1210_clean,واسميها هي الدكتوره ج يا دكتور
test_sample_1211_clean,مش عارفين إن شاء الله إن شاء الله
test_sample_1212_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fi
test_sample_1213_clean,مش عايز الكلام المفروض ي الجلوله اللي خلال المفروض اللي هو ميت ما يتجهلش بس إحنا كانت السيكه مفتوحه عملنا لو عايزين ندخل
test_sample_1214_clean,ظن مع عمري ما عدى ظمراني إم يعني ما هو حابه أو هو ده أظن مع عمري ما عدى ظمراني إم يعني ما هو حابه أوضه أظن مع عمري ما عدى ظمراني إم يعني ما هو حابه أو هو ده أظن مع عمري ما عدى ظمراني إم يعني ما هو حابه أو هو ده أظن مع عمري ما عدى ظمراني إم يعني ما هو حابه أو هو ده أظن مع عمري ما عدى ظمراني إم يعني ما هو حابه أو هو ده أظن مع عمري ما عدى ظمراني إم يعني ما هو حابه أو هو ده أظن
test_sample_1215_clean,الصلاة والسلام أه تماما
test_sample_1216_clean,لا حضرتك من الأسرار مباشر الساعه صفا يعني
test_sample_1217_clean,قولتله دي مكتوبه عند عبد العظيم أعمل حق لاعبد العظيم عن تليفه
test_sample_1218_clean,ده هو أصلا أبوها يعني عواضي إنت لو في خير مكان شوبت الكوبايه في كل ديني في كل دي
test_sample_1219_clean,فنيته فين في برنامج التليفزيوني في بتاع أتحاسب بإذنوني في بتاع أتحسن
test_sample_1220_clean,إذا معرفتي في دول عمرك هطلاقتكش
test_sample_1221_clean,على القوات المسابقه دي
test_sample_1222_clean,<fil> <fil> <fil> <fil>
test_sample_1223_clean,يا خرابياتك يا ويطلعها حاضر يا دكتور
test_sample_1225_clean,إنت ملدش عليك إنك تطلع تاني نعم تتجوم المعركه
test_sample_1226_clean,ج أنا بلاها بإن الطرق اللي عندك حضرتك مريض بالكنيه ده يا ريت تجيبي الطرق عند حضرتك نكشف عليه يا فندم
test_sample_1227_clean,أه أه
test_sample_1228_clean,و أنت جيت أبدثني العامه إم يعني عشان أط معانا لخوف أد الأهل
test_sample_1229_clean,طب خلاص أنا خلاص مملكش حاجه
test_sample_1230_clean,ويكتب بروايات ويكتب أستاذهم
test_sample_1231_clean,الله حطه بيده واحده يعني
test_sample_1232_clean,على التمجه تنشع وروح إجادته
test_sample_1233_clean,نظام دفاع مشترك يعني <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1234_clean,<fil> <fil> <fil> <fil> قالي يا عيني كويس إم
test_sample_1235_clean,يا عين مقارنه أعش مقارنه
test_sample_1236_clean,هو مين هيسيبك تعمل كده فتح الخريطه ورقه و يعني قوت و تصرف معاه
test_sample_1237_clean,وهترد هتعليه مش تعليم مش حته لا دي نوبي
test_sample_1238_clean,أه أه أه أه أه
test_sample_1240_clean,في ناس كتير أوي ويكتبوا من بعض الرئيس مرسي أصبح الرئيس علينا بإسبوعين والتلات أسامياء أنا بتكلم بعد عشر أشهر أه وشايف إن أنا من حاج أجور
test_sample_1241_clean,ولا عمري باجي عليكي
test_sample_1242_clean,يروح بنزل الفيديو وينزل عليه الصور لبلامج ليافل في في التلفزيون
test_sample_1243_clean,لأنها مواجهه الصعيدي على رئيس أنا حضرتك أنا جادل أظهر مع حضرتك و الله دي أغلى الماركات يعني ألبس و الله
test_sample_1244_clean,دهخر جرعات
test_sample_1245_clean,طبعا يعني يعني أنا أستحمي أنا أتكلم في في في في الموضوع ده و الله يعني أنا أستحمي أنا أتكلم في في في في الموضوع ده و الله يعني أنا أستحمي أنا أتكلم في في في في الموضوع ده و الله يعني أنا أستحمي أنا أتكلم في في في في الموضوع ده و الله يعني أنا أستحمي أنا أتكلم في في في في الموضوع ده و الله يعني أنا أستحمي أنا أتكلم في في في في الموضوع ده و الله يعني أنا أستحمي أنا أتكلم في في في في الموضوع ده و الله يعني أنا أستحمي أنا أتكلم في في في في الموضوع ده و الله يعني أنا أستحمي أنا أتكلم في في في في الموضوع ده و الله يعني أنا أستحمي أنا أتكلم في في في في
