audio,transcript
test_sample_1181_clean,لأ إيه أما البيضه النضيفه ده أهي نعم يبقى معلش خبار
test_sample_1182_clean,صورته مفرجتش خيالي و أنا بعمل عمليه
test_sample_1183_clean,و أبحاث الشهداء وأمهاتهم معاها و اختبارات الراجل يحزن شويه ويخش الجنازه
test_sample_1184_clean,<fil> يعني لما كنا <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1185_clean,يا بني ادم ده مسميه علاجي
test_sample_1186_clean,إم صندوق أجيال زي ده اسمه اللي حاصله كده إم يجيبوا الناس يجيبوه
test_sample_1187_clean,الجلد و ربنا مقالش كذا
test_sample_1188_clean,أه وده في الشعر يعني
test_sample_1189_clean,يبقى هو يبقى إنت مديون دلوقتي تعالو يبقى إنت مديون دلوقتي تعالو يبقى إنت مديون دلوقتي تعالو يبقى إنت مديون دلوقتي تعالو يبقى إنت مديون دلوقتي ت
test_sample_1190_clean,ما لو معاك لا مش كل جعتي معاهم
test_sample_1191_clean,فاللحن فيه ده يعني لما جينا الآن دلوقتي
test_sample_1192_clean,الناس كانت تخجل من بعض ام نستخدم يعني لما هنعمل اكتب أصيبه وهو أو غنوه
test_sample_1193_clean,<fil> <fil> <fil> <fil> <fil>
test_sample_1195_clean,نمره واحد أنا أنتمي انتماء كامل للمعتصمين في عند وزارة الصحه أنا هطلع من عندك عليهم
test_sample_1196_clean,أيوه يا فندم أنا كنت حابب إن أنا أجي هسكلك الأكل في من البوتجه
test_sample_1197_clean,ها
test_sample_1198_clean,أه
test_sample_1199_clean,دي بقى إنت قدرت
test_sample_1200_clean,متوقعات كام أما أنا هقولك أه أه
test_sample_1201_clean,مدام كده كده هتسيبها متفردش لمين يا ناصر
test_sample_1202_clean,<fil> <fil>
test_sample_1203_clean,بدل ما تخوفه
test_sample_1204_clean,أقوى متنقله يعني مفيهاش يعني غلطه جريبه حقيقيه إزعاجهم من أسيده له
test_sample_1205_clean,طبعا جاللها هسمت مني يا أستاذه إي جالك اللي هو ميس الحديدي
test_sample_1206_clean,فقولتلها <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil
test_sample_1207_clean,بس ودي مش أصلا مكنتش ممكن أتجوزها إم فا جدول القبائل ما ينفعش ولا أقول
test_sample_1208_clean,يا حبيبتي يا إبراهيم
test_sample_1210_clean,وسميها هي الدكتوره يا دكتور
test_sample_1211_clean,مش عايزين يساعدنا
test_sample_1212_clean,أنا مش بقولك إنت لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا حتى
test_sample_1213_clean,مش عايز كلام لو فاضي رجاله ولا كلام المفروض اللي هو ميت ميتجلش بس إحنا كانت السكه مفتوحه عملنا لو عايزين ندخول القصر وكل حاجات كامله
test_sample_1214_clean,أظن مع عمر مععد غمراني إم يعني محبه و و
test_sample_1215_clean,أهلا وسهلا أه تمام
test_sample_1216_clean,لا حضرتك من الأسرار أربعتاشر ساعه صفوتها
test_sample_1217_clean,قولتله طب مكتوبه عند عبد العظيم عمل حق لا عبده العظيم عامل تليفونها
test_sample_1218_clean,ده هو أصلا أبوها يعني عواضي إنت لو في خيار ما كانش
test_sample_1219_clean,حفلاته فين في برنامج التليفزيوني في بتاع أتحاسب
test_sample_1220_clean,إذا معرفتي في دول عمرك هطلبتش
test_sample_1221_clean,على الكاتب
test_sample_1222_clean,الله يبارك فيك
test_sample_1223_clean,يا خرباتك يا وكلها حاضر يا دكتور
test_sample_1225_clean,إنت من الدشع لك إنك تطلع تاني نعم بنجوم المعركه
test_sample_1226_clean,جانا بلاغ بإن الطيار اللي عنده حضرتك مريض بالكلابه يا ريت تجيبي اضطري عند حضرتك نكشف عليه يا فندم
test_sample_1227_clean,<fil> <fil> <fil>
test_sample_1228_clean,و إنتو جاي تلبسني العامه إم يعني عشان أطلع أنا اللي غلطت الأخرى
test_sample_1229_clean,قبل خلاص أو خلاص مملكش حاجه
test_sample_1230_clean,ويكتب بروبايات ويكتب إصاصي
test_sample_1231_clean,أما راحت لبيض واحده
test_sample_1232_clean,حتى مجلس إدارة شعري وروح
test_sample_1233_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1234_clean,<fil> <fil>
test_sample_1235_clean,يا عم بخمسه وخمسه وخمس
test_sample_1236_clean,هو مين هيسيبك تعمل كده افتح الخريطه و <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1237_clean,راحت لدهت عاليه مش حته لا دي الوبي
test_sample_1238_clean,أه أه
test_sample_1240_clean,في ناس كتير هاجم و <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1241_clean,طول عمري باجي عليك
test_sample_1242_clean,يروح بينزل الفيديو و ينزل عليه الصور اللي برامج ليا في <fil> في التليفزيون
test_sample_1243_clean,لأنها مواجهة صعيدي على الريس أنا حضرتك أنا جادل أصغر مع حضرتك و الله بأغلى الماركات يعني ألبس والله
test_sample_1244_clean,تخرج برعاه
test_sample_1245_clean,طبعا يعني يعني أنا أستحمي أنا أتكلم في في في الموضوع ده هو أنا أستحلي أنا أتكلم في في في الموضوع ده
test_sample_1246_clean,فده أنا بشتري أه لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا والله
test_sample_1247_clean,هي مدبولي جها مسديها بولادها بولادها بولادها بولادها بولادها بولادها بولادها بولاز
test_sample_1248_clean,فا إسقاط الرياسه كلمه متهيألي إنها <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil>
test_sample_1249_clean,يا أخي تقيل
test_sample_1250_clean,<fil> لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا ما
test_sample_1251_clean,
test_sample_1252_clean,هو ضربه كده وخلاص
test_sample_1253_clean,أنا اللي محضر حظه تمشي بدون ترخيص في فيلم ترخيص في فيدون ترخيص في فيلم ترخيص في فيدون ترخيص في فيلم ترخيص
test_sample_1255_clean,إن هو يعني الكلام ده مش هينفع الكلام ده مش هي كمل الأجيال دي
test_sample_1256_clean,فجأه فقولتله يا كنا يا أخويا
test_sample_1257_clean,و الله ما أنا هقولك أهو إم أنا لما جه داخل أه لما جه ده أنا جيت أرجع لورا كان زكريا عزمي جنبنا
test_sample_1258_clean,إنت عامل زي أبوك والدخول
test_sample_1259_clean,إنت رايح الجنيه
test_sample_1260_clean,يقولك بالشنب خطير
test_sample_1261_clean,زي ما كتبتهالك الحاجات الجايه بقى هنشوف
test_sample_1262_clean,يا سلام مع الاسم والله هي روض من غير عنها
test_sample_1263_clean,أستغفر الله العظيم استغفر الله العظيم
test_sample_1264_clean,أهم حاجه الأدب والعلقه
test_sample_1265_clean,ده هو عشان هو الخالق ولا هو يعلم جيدا كم الوجع وكمل و كان من المشاعر اللي قد يدخل منها الشيطان في اللحظه في لحظة ما ده يحصل
test_sample_1266_clean,أه كنت عايزه أقولك إيه
test_sample_1267_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> الدقيق
test_sample_1268_clean,و أشكر كل واحد في الصعيد و في وجهة <fil> أشكر كل واحد في الصعيد و في وجهة <fil>
test_sample_1270_clean,وكان الناس اللي داعمة الفكره
test_sample_1271_clean,فكان وإحنا لسه جاي من البلد و دول عمالقه وموجودين فجأة لاقي نفسك صف الأول
test_sample_1272_clean,سمح ميه خمس سنين
test_sample_1273_clean,بيخليك ت في الجدوى يعني
test_sample_1274_clean,عليه الصلاة والسلام عليه الصلاة والسلام
test_sample_1275_clean,مع السلامه
test_sample_1276_clean,
test_sample_1277_clean,دائما أه هياخد ولا
test_sample_1278_clean,وبالتالي حد و يروح فوق الصبح لازم يتلاصر ميشيل ميشيل
test_sample_1279_clean,تمام يا ماما
test_sample_1280_clean,وقعدت لخمس طبعا
test_sample_1281_clean,وحضرتك هنعمل العمليه دي يا دكتور
test_sample_1282_clean,مشهد ملها جاتل برضو
test_sample_1283_clean,
test_sample_1285_clean,يعني جاهزه جاهزه جاهزه
test_sample_1286_clean,<fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <fil> <
test_sample_1287_clean,يا شكر إيجابيين
test_sample_1288_clean,عمره ما جبعتلي في الروضه ولا دي
test_sample_1289_clean,المهم ألا بقولها محاليل
test_sample_1290_clean,و الله ست حسبانك
